City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,meizhou,24.2977,116.1072,24.44,98,98,0.78,CN,1724968301
349,puerto armuelles,8.2833,-82.8667,28.38,73,98,0.45,PA,1724968231
350,daru,-9.0763,143.2092,25.57,75,99,5.9,PG,1724968257
351,grande prairie,55.1667,-118.8027,23.1,31,75,9.26,CA,1724968305
352,sokol,59.4617,40.1206,12.84,83,7,0.92,RU,1724968306
353,luninyets,52.2472,26.8047,19.83,58,58,3.62,BY,1724968307
354,rikaze,29.25,88.8833,12.24,55,89,1.38,CN,1724968308
355,metu,8.3,35.5833,13.65,98,98,1.44,ET,1724968309
356,makueni boma,-1.8041,37.6203,17.45,81,44,2.61,KE,1724968310
357,polyarnyy,69.1989,33.4478,11.13,75,94,3.77,RU,1724968311
358,mpanda,-6.3655,31.0409,22.21,56,5,0.62,TZ,1724968312
359,kikwit,-5.041,18.8162,27.0,49,89,1.1,CD,1724968314
